names,visualisingdata.com,graphicsociology,blog.oecdfactblog.org,datablog,datavisualization.ch,dataspora.com/blog,flowingdata.com,infosthetics.com,visualcomplexity.com/vc,visualjournalism.com,chartporn.org,visualizing.org,createdigitalmotion.com,news.designlanguage.com,xkcd.com,blog.wolframalpha.com,brainpickings.org,bang.clearscience.info,radar.oreilly.com,creativeapplications.net,informationisbeautiful.net,fellinlovewithdata.com,blogs.wsj.com/numbersguy,getprismatic.com,petewarden.typepad.com,indiemaps.com/blog,benfry.com/writing,serialconsign.com,perceptualedge,excelcharts.com/blog/posts,datajournalismblog.com,eagereyes.org,thefunctionalart.com,good.is/infographics,ilovecharts.tumblr.com,dailyinfographic.com,infographicsarchive.com,visualoop.tumblr.com,visualizingeconomics.com,spatialanalysis.co.uk,storiesthroughdata,sethssources.wordpress.com,datawrangling.com,infoisbeautifulawards,xblog,interactive-infographics.com,thewhyaxis.info,ideasillustrated.com/blog,Ben Fry,Daniel A.,David McCandless,Jer Thorp,Lisa Strausfeld,Manuel Lima,Marcos Weskamp,Moritz Stefaner,Stefanie Posavec,Santiago Ortiz,Jen Lowe,Jason Davies,Mike Bostock,Willem Tulp,Martin Wattenberg,Edward Tufte,Jonathan Harris,Eric Fischer,Fernanda Viegas,Jerome Cukier,Jeff Clark,Nicolas Garcia,Gregor Aisch,Ben Shneiderman,Francesco Franchi,Christopher Warnow,Irene Ros,Lev Manovich,Nicholas Felton,Szucs Krisztina,Stephen Wolfram,Scott Murray,Matthew Ericson,Mahir M.,Jim Vallandingham,Martin Oberhaeuser,Benedikt Groß,Katy Börner,Rachel Binx,Aaron Koblin,Golan Levin,Applied Works,BERG,Bestiario,Catalogtree,Bloom,Density Design,Envis Precisely,Field,Flink Labs,InfoMotor,Interactive Things,Ito World,JESS3,Juice Analytics,Oblong Industries,Periscopic,Pitch Interactive,Potion Design,Rhiza Labs,Seed Media,Taco Labs,Vizzuality,OOM,FFunction,Plaid,Visup,Data Republic,Data Market,NYT labs,tracemedia,stamen,R,Gephi,Quadrigram,Many Eyes,Tableau Software,Plot.io,infogr.am,Google chart,Gapminder,d3,Infovis,wordle,wolfram|alpha,create.visual.ly,Polychart,Miso,envision,geocommons,timeline.verite,DataKind,Visual Complexity,Visualize this,visual display,Visualizing Data,The visual
processing,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5,0,11,0,0,6,0,0,1,4,0,0,0,9,1,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,15,0,0,23,27,0,0,0,0,0,0,0,23,0,0,0,2,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
blogs,2,0,1,3,3,5,0,2,0,3,1,0,1,7,1,23,10,0,11,0,1,12,18,0,10,6,14,4,1,1,1,1,0,1,1,2,0,11,1,7,0,0,0,0,23,1,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,1,0,1,0,0,0,0,6,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
datavisualization,5,1,2,2,4,1,0,1,0,0,2,2,0,3,0,0,0,0,0,0,0,9,0,0,0,0,5,0,1,2,0,6,1,0,1,0,1,1,2,4,0,0,0,2,0,0,11,0,2,2,1,1,0,0,1,4,3,0,0,0,0,8,7,0,1,3,9,1,2,1,1,0,0,0,0,3,3,1,0,1,2,1,1,1,0,0,0,1,1,0,0,1,1,3,1,0,0,5,0,2,1,1,2,0,0,1,0,0,5,0,1,0,21,0,0,0,0,0,0,0,1,1,0,2,3,1,3,0,0,0,0,0,0,2,1,2,0,0,1,2,0,10,1,0,0
mapping,1,0,0,0,0,0,0,1,15,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,31,11,0,0,0,0,1,0,0,0,0,0,1,0,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,36,0,0,0,0,0,0,15,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,23,0,0,0,1,1,0,0
charts,1,0,0,0,0,0,1,0,1,1,22,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,10,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,2,0,20,30,0,2,25,0,0,1,2,1,1,0,0,0,0,0,1,0,0
web,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,8,0,0,15,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,2,0,0,1,0,16,2,0,1,0,7,2,0,0,0,8,0,4,0,2,0,0,0,0,0,0,0,1,0,0,1,1,0,0,3,0,0,0,3,0,5,0,11,2,11,0,0,2,0,0,4,0,3,0,1,1,2,0,1,3,5,5,0,0,0,0,0,0,1,0,10,1,0,4,0,0,1,1,9,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0
interface,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,3,13,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,15,0,2,0,1,0,0,0,0,0,1,0,18,1,0,0,0,0,0,0,11,0,2,0,1,0,0,0,1,1,0,0,30,1,0,0,0,0,18,1,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0
studio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,14,7,1,13,2,2,0,23,8,0,7,0,2,0,1,3,1,4,1,1,1,1,0,9,12,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
analytics,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,28,0,1,0,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,41,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,31,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
dataviz,1,0,0,1,1,0,2,1,3,1,0,1,0,3,0,0,0,0,0,0,1,6,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,3,0,0,0,6,0,0,4,1,3,1,0,1,0,0,1,1,0,0,0,0,0,7,3,0,0,2,5,1,3,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,2,0,0,2,0,0,0,1,2,0,1,1,0,0,0,0,1,1,3,0,0,0,2,1,0,2,0,1,5,2,3,0,4,1,0,0,0,0,0,0,5,22,0,0,0,1,0,2,0,0,1
